doi,pmid,year,title,journal,authorString,citedBy,query,abstract
10.1080/19490976.2026.2672794,42249624,2026,Gut-derived bacterial extracellular vesicles: the microbial dark matter contributing to host inflammation and cardiometabolic disease.,Gut microbes,"Oliver B, Sun M, Lee YS, Cho S, Zhu T, Durgan D, Sweeney G.",0,microglia subtypes single-cell markers [recent],"Cardiometabolic diseases (CMDs) represent a growing global health burden, with chronic inflammation and gut microbiota dysbiosis emerging as central contributors to their pathogenesis. Among the diverse microbial products influencing host physiology, bacterial extracellular vesicles (BEVs) have gained attention as potent mediators of interkingdom communication. These nanoscale vesicles, secreted by both gram-positive and gram-negative bacteria, carry a complex cargo of proteins, lipids, nucleic acids, and pathogen-associated molecular patterns (PAMPs) that interact with host pattern recognition receptors (PRRs) to modulate immune and metabolic responses. BEVs can traverse intestinal barriers, disseminate systemically, and accumulate in cardiometabolic tissues, where they influence inflammation, insulin sensitivity, and organ function. This review synthesizes current evidence linking BEVs to CMDs, explores mechanisms of BEV-host crosstalk, and highlights their potential as diagnostic biomarkers and therapeutic vectors. We also discuss emerging technologies for BEV characterization and propose future research directions to better understand their role in CMD pathophysiology."
10.1080/13510002.2026.2677396,42187062,2026,Oxidative stress biomarkers and flavonoids in Alzheimer's disease: current clinical evidence and therapeutic perspectives.,Redox report : communications in free radical research,"Zainuddin MS, Pamidi N, Azman AS, Bai Magalingam K, Bhuvanendran S.",0,microglia subtypes single-cell markers [recent],"Alzheimer's disease (AD) is a major global neurodegenerative disorder associated with high morbidity and mortality, yet current treatments remain largely symptomatic and ineffective in halting neurodegeneration. Growing evidence links oxidative stress potentially being an early event in AD progression. Consequently, therapeutic strategies targeting oxidative stress-mediated cellular damage are increasingly attractive. This review summarizes clinical evidence of oxidative stress biomarkers in AD and examines the neuroprotective mechanisms of flavonoids against oxidative stress <i>in vivo</i>, together with current clinical findings. Despite inconsistencies among studies due to variations in detection methods, a consistent trend of elevated oxidative stress in AD is evident, correlating with disease severity. Although <i>in vivo</i> studies have demonstrated that flavonoids restore antioxidant defences and suppress neuroinflammation, convincing clinical evidence of their efficacy in AD patients remains limited. Overall, these findings emphasize oxidative stress as a therapeutic target requiring further validation efforts."
10.1080/13510002.2026.2664955,42050372,2026,EGCG-loaded nanoparticles attenuate post-SAH white matter injury by targeting HO-1/S100A10 to suppress oxidative stress-induced reactive astrocytes.,Redox report : communications in free radical research,"Lang D, Zheng Y, Zhang J, Li Z, Niu M, Wang J, Wang X, Huang L, Xue J, Li L, Chen Y.",0,microglia subtypes single-cell markers [recent],"<h4>Objective</h4>Subarachnoid hemorrhage (SAH) is associated with high mortality and poor outcomes, which are closely related to white matter injury (WMI). (-)-Epigallocatechin-3-gallate (EGCG) exerts neuroprotective effects by inhibiting oxidative stress-related ferroptosis in astrocytes and improving neurological function. However, the role and mechanism of EGCG in regulating reactive astrocytes (RAs) to alleviate WMI after SAH remain unclear.<h4>Methods</h4>A mouse model of SAH was used to evaluate the effects of EGCG-loaded nanoparticles (EGCG-NPs). Western blot, qPCR, and immunofluorescence were performed for biochemical analysis. Neurological function was assessed using neurological deficit scores and the Morris water maze test.<h4>Results</h4>Following SAH, HO-1-mediated iron accumulation and ROS production promoted A1/A2 reactive astrocyte polarization, resulting in myelination damage and aggravated WMI. Knockdown of S100A10 inhibited iron-dependent oxidative stress in RAs and attenuated WMI. EGCG-NPs significantly suppressed HO-1/S100A10-mediated iron overload and oxidative stress in both A1 and A2 RAs, thereby alleviating WMI after SAH.<h4>Conclusion</h4>EGCG-NPs attenuate SAH-induced WMI by inhibiting the iron overload-activated HO-1/S100A10 axis in RAs, representing a promising therapeutic strategy."
10.1080/07853890.2026.2654248,42046408,2026,Diabetic cerebral microvascular disorder: from key pathologies to targeted interventions.,Annals of medicine,"Zhang Q, Liu J, Ji X.",0,microglia subtypes single-cell markers [recent],"<h4>Background</h4>Diabetes mellitus, a highly prevalent metabolic disorder worldwide, poses a severe threat to patient health primarily through its debilitating vascular complications. The cerebral microvasculature, essential for maintaining brain homeostasis and function, is particularly vulnerable to diabetic injury. However, diabetic cerebral microvascular disorder-a key contributor of neurological diseases like stroke, dementia, and cerebral small vessel disease-remains insufficiently characterized, and its pathophysiological mechanisms and therapeutic implications are not yet fully integrated.<h4>Findings</h4>This review comprehensively summarizes the structural and functional abnormalities of cerebral microcirculation in diabetes, encompassing pathological neovascularization, pathological remodeling, blood-brain barrier disruption, cerebrovascular reactivity impairment, capillary stalling, impaired autoregulation, and neurovascular uncoupling. These microvascular alterations are then examined in relation to major neurological diseases, such as stroke, cerebral small vessel disease, cognitive impairment, Parkinson's disease, and depression. Current and emerging interventions, ranging from lifestyle modification and glucose-lowering therapies to mechanism-targeted strategies, are also discussed. While this review covers cerebral microvascular alterations across diabetes subtypes, it should be noted that the majority of currently available evidence derives from studies in type 2 diabetes.<h4>Conclusions</h4>This review provides a comprehensive synthesis of current knowledge on diabetic cerebral microvascular disorder, providing a framework for mechanistic research and supporting the clinical translation of microcirculation-targeted strategies for managing diabetes-related neurological complications."
10.1080/2162402x.2026.2660418,42010788,2026,Spatial transcriptomics unveils immune cellular ecosystems associated with patient survival in diffuse large B-cell lymphoma.,Oncoimmunology,"Diaz-Herrero A, Pelaez-Prestel HF, Massenet-Regad L, Veyssiere M, Calvani J, Cristinelli C, Lehmann-Che J, Meignin V, Thieblemont C, Blanc V, Soumelis V, Tonnerre P.",0,microglia subtypes single-cell markers [recent],"Diffuse large B-cell Lymphoma (DLBCL) is the most prevalent subtype of non-Hodgkin's lymphoma for which current therapeutic strategies remain insufficient, in part owing to heterogeneity in tumor biology and the immune microenvironment. The diffuse nature of DLBCL represents a challenge to elucidate how malignant and immune cells are spatially organized within the tumor microenvironment (TME), and how this organization impacts immune function and clinical outcome. Here, we performed a pilot spatial transcriptomics analysis of primary DLBCL tissue sections to resolve spatial gene expression patterns and cell-cell interactions, with key cellular features validated at the protein level. We identified six recurrent, spatially organized cellular ecosystems (Cell-Eco) defined by distinct immune compositions, transcriptional programs, and neighborhood architectures. Notably, ecosystems with similar immune cell abundance exhibited divergent functional states and opposite clinical associations, demonstrating that spatial context and local interactions, rather than cell-type frequency alone, shape immune function within the DLBCL TME. Building on these spatial ecosystems, we derived Cell-Eco gene signatures that generated prognostic scores and robustly stratified patient survival in large, independent DLBCL cohorts comprising more than 1000 cases. Across ecosystems, tumor-associated macrophages have emerged as the dominant spatial partners of malignant B cells, highlighting their central role in structuring the immune microenvironment. Together, these findings establish a spatially informed framework for DLBCL immune organization and demonstrate the prognostic relevance of tumor cellular architecture."
10.1080/07853890.2026.2654230,41986248,2026,Direct neuronal reprogramming: emerging therapeutic strategies for neurodegenerative disorders.,Annals of medicine,"Tyagi A, Prabhu V, Agarwal P, Kumar P.",0,microglia subtypes single-cell markers [recent],"<h4>Background</h4>Treatment of brain injuries and neurodegenerative disorders is a critical challenge due to poor regenerative capabilities of the central nervous system. The current therapeutic strategies are primarily focussed on treating the symptoms than addressing the core issue of loss of neurons. Despite advances in stem cell therapies and surgical alternatives, they are not always successful due to challenges like immune rejection and limited efficacy. Direct neuronal reprogramming of endogenous somatic cells is a promising approach to restore lost neurons. This review evaluates traditional reprogramming techniques and their limitations, explores novel <i>in-vivo</i> strategies that address older problems, and analyse clinical trial outcomes to identify key knowledge gaps to guide future research.<h4>Discussion</h4>Traditional neuronal reprogramming is based on <i>in-vitro</i> ectopic expression of lineage-specific transcription factors. To overcome hurdles posed by <i>in-vitro</i> reprogramming, such as insertional mutagenesis, and variable efficiency, <i>in-vivo</i> approaches have emerged. These techniques employ small molecules, nonviral gene delivery, and CRISPR-based activation to reduce protocol complexity and improve cell survival. Combined methodologies integrate transcription factor cocktails with epigenetic modifiers, microRNAs, and neurotrophic factors, and show further enhancements. Despite these advances, translation to clinical applications has been modest. Early-phase trials report limited functional improvements and highlight risks of off-target effects, inconsistent delivery specificity, and unresolved immunogenicity.<h4>Conclusions</h4>Direct neuronal reprogramming offers a viable strategy for replenishing neuronal cell mass in neurodegenerative diseases and brain injuries through autologous therapy. Novel <i>in-vivo</i> and combined approaches show promise in addressing the shortcomings of traditional methods. However, further preclinica"
10.1080/19490976.2026.2659393,41981757,2026,&lt;i&gt;Blastocystis&lt;/i&gt; sp. induces neurocognitive deficits in mice via p38 MAPK-mediated downregulation of NR4A1.,Gut microbes,"Yang X, Nan H, Zhao Y, Li H, Zhang X, He M, Ma L.",0,microglia subtypes single-cell markers [recent],"<i>Blastocystis</i> sp. is a zoonotic protozoan with a broad host range, and its pathogenicity in humans has remained controversial. In this study, we observed neurocognitive impairments in mice following <i>Blastocystis</i> sp. infection, prompting us to investigate the mechanisms underlying these changes. Transcriptomic analysis of brain tissue revealed significant changes in the expression of several Neurocognitive Deficits -associated genes, most notably a marked downregulation of the nuclear receptor <i>NR4A1</i>. These findings were validated and confirmed using Western blot, immunofluorescence, and immunohistochemical analyses. While in vitro infection of BV2 microglial cells with <i>Blastocystis</i> sp. revealed activation of the IL-17-p38 MAPK-NR4A1 signaling axis, in vivo administration of a p38 inhibitor in infected mice ameliorated motor and cognitive deficits, demonstrating that this signaling cascade mediates neuropathology in mouse brain following the parasite infection. This finding indicates that <i>Blastocystis</i> sp. infection induces IL-17 overexpression in both the gut and brain, resulting in the activation of the p38 MAPK pathway. This subsequently leads to significant NR4A1 downregulation and, ultimately, results in Neurocognitive Impairment behavioral phenotypes in mice. This study reveals a novel mechanism whereby <i>Blastocystis</i> sp. infection induces cognitive and motor deficits through activation of the p38 MAPK-NR4A1 pathway in brain tissue, offering a potential therapeutic target for future interventions."
10.1080/13510002.2026.2654906,41964111,2026,Oxidative stress in neurodegeneration: from a simple insult to a dynamic regulator.,Redox report : communications in free radical research,"Zhang L, Zhai X, Yan Y, Xiang L, Zhang Y, Zhou X, Cai L, Tang Z, Xia Y.",0,microglia subtypes single-cell markers [recent],"<h4>Objectives</h4>To evaluate the central role of oxidative stress in neurodegenerative diseases, and to explore its dynamic regulatory features, underlying signaling pathways, and molecular mechanisms, as well as advanced technological strategies for antioxidant intervention.<h4>Methods</h4>This review comprehensively evaluated existing literature on oxidative stress in neurodegenerative diseases. It analyzed key regulatory pathways (Nrf2, Keap1, AMPK, mTOR) and molecular processes, including ferroptosis, NETosis, and mitochondrial quality control systems, along with oxidative damage to DNA, lipids, and proteins. The review also assessed advanced technological approaches such as subcellular organelle targeting, nanocarrier delivery systems (e.g. gold nanoparticles, liposomes for glutathione delivery), and single-cell/spatial omics technologies (e.g. single-cell redoxomics, spatial transcriptomics).<h4>Results</h4>Oxidative stress exhibits dynamic features, generating protective signals in early stages but transitioning into destructive factors later. A major obstacle for current antioxidant therapies is the blood-brain barrier. Breakthrough strategies identified include precision targeting at the subcellular level, functionalized nanoparticles for efficient antioxidant delivery, and the integration of single-cell redoxomics with spatial transcriptomics to identify specific biomarkers and enable personalized treatments.<h4>Discussion</h4>By integrating novel molecular mechanisms and advanced technological resources, this review redefines oxidative stress not as a singular event but as a complex, dynamically regulated system in neurodegenerative diseases. This reconceptualization provides new perspectives for developing targeted and personalized therapeutic interventions."
10.1016/j.mmr.2026.100005,41953056,2026,"Post-traumatic stress disorder: pathogenesis, epidemiological characteristics, animal models, and potential therapeutic strategies.",Military Medical Research,"Nguyen F, Shetty AK.",0,microglia subtypes single-cell markers [recent],"Post-traumatic stress disorder (PTSD) is a complex neurobehavioral disorder that disproportionately affects military service members. The clinical presentation of PTSD is heterogeneous and may overlap with other psychiatric conditions. According to the Fifth Edition of the Diagnostic and Statistical Manual of Mental Disorders (DSM-5), common symptoms include memory loss, mood and personality changes, impulsiveness, aggression, anxiety, and depression. The pathophysiological mechanisms underlying PTSD remain incompletely understood, although research implicates pathways involving the hypothalamic-pituitary-adrenal (HPA) axis, dysfunctional neural circuitry, neurochemical imbalances, neuroinflammatory processes, and genetic and epigenetic factors. Approximately 7% of the U.S. adult population has met the diagnostic criteria for PTSD in their lifetime, with a substantially higher prevalence of 12%-30% among military personnel. Multiple animal models, including single-stressor, intermediate complexity, social interaction, predator stress, and blast exposure paradigms, have been employed to investigate PTSD mechanisms. Current treatment strategies typically integrate pharmacotherapy and psychotherapy. Military service members are at increased risk for blast injuries, which frequently result in traumatic brain injury (TBI). Although some symptoms of TBI may resolve, approximately 20% of affected individuals develop new symptoms, including PTSD. Evidence suggests that exposure to blast shock waves (BSWs) serves as a critical trigger for the clinical manifestations of both TBI and PTSD. Recent studies have identified several mechanisms contributing to BSW-induced brain dysfunction, including intraneuronal accumulation of phosphorylated Tau (p-Tau), activation of the dynorphin/kappa opioid receptor, and activation of metabotropic glutamate receptor 2/3 signaling pathways. This review provides an overview of the clinical features, treatments, pathophysiology, and epidemiology"
10.1080/07853890.2026.2634566,41918250,2026,Epigenetic regulators polyphenols in neurodegenerative diseases: a promising intervention strategy.,Annals of medicine,"Li LH, Huang Y, Wang XX, Xu CC, Wu L, He KL, Han DX, Chang Z, Wang JQ, Ma RJ.",0,microglia subtypes single-cell markers [recent],"<h4>Background</h4>Neurodegenerative diseases are complex disorders characterized by the progressive loss of neuronal structure and function, involving pathological mechanisms such as oxidative stress, chronic inflammation, protein misfolding, and impaired synaptic plasticity. Recent studies have revealed that epigenetic regulation plays a critical role in the onset and progression of these diseases, including mechanisms such as DNA methylation, histone modifications, and non-coding RNA regulation. Natural polyphenolic compounds, known for their safety and multi-target properties, have emerged as promising candidates for neuroprotection and therapeutic intervention.<h4>Methods</h4>This review summarizes recent advances in the neuroprotective effects of polyphenols in neurodegenerative diseases through epigenetic mechanisms. It focuses on their regulation of DNA methyltransferase activity, histone acetylation status, and non-coding RNA expression, as well as their influence on neurotrophic factors, inflammatory mediators, and synapse-related gene expression.<h4>Results</h4>Polyphenolic compounds such as curcumin, resveratrol, and epigallocatechin gallate (EGCG) have been shown to modulate epigenetic enzyme activity, alleviate neuroinflammation, improve mitochondrial function, and promote neuroregeneration, demonstrating multi-level neuroprotective effects. However, clinical translation is limited by low oral bioavailability, rapid metabolism, and insufficient brain-targeting capacity. Emerging strategies including nano-delivery systems, prodrug design, and omics technologies hold promise in overcoming these limitations and enhancing therapeutic efficacy.<h4>Conclusions</h4>Polyphenols exert multi-target regulatory effects <i>via</i> epigenetic mechanisms in neurodegenerative diseases, showing great potential for intervention. In the future, integrating precision nutrition, personalized treatment, and multi-omics approaches may facilitate the development of novel epig"
