umbrella,umbrella_description,sub_subtype,alias,status,upregulated_genes_human,upregulated_genes_denoised,dissociation_genes_removed,downregulated_genes_human,protein_surface_markers,context,references,reference_dois,changes_vs_baseline
Homeostatic / Surveillant,"Healthy-brain surveillant microglia and early-transition states. Core: P2RY12, CX3CR1, TMEM119, CSF1R.",Homeostatic,Homeos1,updated,"P2RY12, CX3CR1, TMEM119, SALL1, FCRLS, HEXB, CSF1R, TGFBR1, MERTK, ITGB5, SPARC, GPR34, SIGLECH, OLFML3, SELPLG, P2RY13, ADGRB1, KBTBD12, RASGEF1C","P2RY12, CX3CR1, TMEM119, SALL1, FCRLS, HEXB, CSF1R, TGFBR1, MERTK, ITGB5, SPARC, GPR34, SIGLECH, OLFML3, SELPLG, P2RY13, ADGRB1, KBTBD12, RASGEF1C",,"ITGAX, APOE, CD74, IL1B, CCL3, CCL4, MKI67","P2RY12 (S), TMEM119 (S), CX3CR1 (S), CSF1R/CD115 (S), MERTK (S); SALL1 (I, nuclear TF)",Normal healthy brain; dominant in adult brain,"Hammond et al. (2019), Immunity; Masuda et al. (2019), Nature; Galatro et al. (2017), Nat Neurosci; Paolicelli et al. (2022), Neuron (nomenclature)",10.1016/j.immuni.2018.11.004; 10.1038/s41586-019-0924-x; 10.1038/nn.4597; 10.1016/j.neuron.2022.10.020,Refreshed to human HUGO symbols; added Paolicelli 2022 nomenclature reference and P2RY12/TMEM119/CSF1R as canonical surface markers.
Homeostatic / Surveillant,"Healthy-brain surveillant microglia and early-transition states. Core: P2RY12, CX3CR1, TMEM119, CSF1R.",Homeostatic-GRID2+,Homeos2,updated,"GRID2, PRDM11, ADGRB3, SYNDIG1, DSCAM, MED12L, NAV2, RASGEF1C, TBC1D4, USP6NL, MAP4K4, DOCK10, RALGAPA2, TBC1D9, TBC1D12, EVI5, SNX13, RAP1GAP2","GRID2, PRDM11, ADGRB3, SYNDIG1, DSCAM, MED12L, NAV2, RASGEF1C, TBC1D4, USP6NL, MAP4K4, DOCK10, RALGAPA2, TBC1D9, TBC1D12, EVI5, SNX13, RAP1GAP2",,"APOE, CD74, ITGAX, IL1B","P2RY12 (S), TMEM119 (S); GRID2 (S, glutamate receptor) — note: largely a snRNA/ambient signature, validate by IHC",Potential response to tau-bearing neurons; specialized homeostatic function,"Martins-Ferreira et al. (2025), Nat Commun (HuMicA); Gerrits et al. (2021), Acta Neuropathol",10.1038/s41467-025-56124-1; 10.1007/s00401-021-02263-w,Refreshed to human symbols; flagged that GRID2/neuronal genes may reflect neuronal ambient RNA in snRNA-seq (per Marsh 2022 dissociation-artifact concerns).
Homeostatic / Surveillant,"Healthy-brain surveillant microglia and early-transition states. Core: P2RY12, CX3CR1, TMEM119, CSF1R.",Pre-activated,Homeos3,updated,"P2RY12, CX3CR1, SERPINE1, PELI2, FOXP2, INPP5D, ZFP36L2, CARD11, ID2, NCKAP1L, CSF3R, PADI2, PREX1, TRPM2, SWAP70, GAB1, RGS1, CD83, DUSP1, FOS","P2RY12, CX3CR1, SERPINE1, PELI2, FOXP2, INPP5D, CARD11, ID2, NCKAP1L, CSF3R, PADI2, PREX1, TRPM2, SWAP70, GAB1, RGS1, CD83","ZFP36L2, DUSP1, FOS","ITGAX, APOE, CD74","P2RY12 (S), CX3CR1 (S); CD83 (S, early activation)",Transition state between homeostasis and activation; response to subtle perturbations,"Martins-Ferreira et al. (2025), Nat Commun (HuMicA); Marsh et al. (2022), Nat Neurosci",10.1038/s41467-025-56124-1; 10.1038/s41593-022-01022-8,Refreshed to human symbols; added CD83 surface marker and Marsh 2022 caveat (IEGs FOS/JUN/DUSP1 can be ex-vivo dissociation artifacts).
Disease-Associated (DAM / activation continuum),A continuum of activated/disease-associated states (DAM/MGnD/ARM and human/disease-specific variants). They share TREM2/APOE/ITGAX/GPNMB and differ by sub-state-specific markers. NOT discrete clusters — a trajectory.,Inflammatory DAM,Inflam.DAM / DAM-2 / MGnD,updated,"APOE, CLEC7A, ITGAX, LGALS3, SPP1, AXL, LPL, CST7, CD74, TYROBP, TREM2, CD9, CSF1, CD63, LAG3, CD68, CCL3, CCL4, TMEM163, HAMP, HSPA5","APOE, CLEC7A, ITGAX, LGALS3, SPP1, AXL, LPL, CST7, CD74, TYROBP, TREM2, CD9, CSF1, CD63, LAG3, CD68, CCL3, CCL4, TMEM163, HAMP",HSPA5,"P2RY12, TMEM119, CX3CR1, FCRLS, HEXB, CSF1R","TREM2 (S), CD9 (S), ITGAX/CD11c (S), CLEC7A/Dectin-1 (S), CD63 (S/lysosomal), CD68 (I, lysosomal), GPNMB (S); SPP1/osteopontin (secreted)","Alzheimer's disease, amyloid pathology, neurodegeneration, aging","Keren-Shaul et al. (2017), Cell; Krasemann et al. (2017), Immunity; Hammond et al. (2019), Immunity; Martins-Ferreira et al. (2025), Nat Commun (HuMicA); Sun et al. (2023), Cell",10.1016/j.cell.2017.05.018; 10.1016/j.immuni.2017.08.008; 10.1016/j.immuni.2018.11.004; 10.1038/s41467-025-56124-1; 10.1016/j.cell.2023.08.037,Added MGnD (Krasemann 2017) and DAM-2 synonyms; added human DAM confirmation (Sun 2023 MG-AD state); enriched surface panel (TREM2/CD9/CD11c/CLEC7A).
Disease-Associated (DAM / activation continuum),A continuum of activated/disease-associated states (DAM/MGnD/ARM and human/disease-specific variants). They share TREM2/APOE/ITGAX/GPNMB and differ by sub-state-specific markers. NOT discrete clusters — a trajectory.,Lipid DAM / Lipid-droplet-accumulating microglia,Lipo.DAM / LDAM,updated,"GPNMB, LGALS3, FABP5, LGALS1, LILRB4, CCL15, ANXA5, PLD3, CD9, CD36, LPL, APOE, TREM2, FABP4, NPC1, NPC2, MSR1, PLIN2, APOC1, PPARG, MITF","GPNMB, LGALS3, FABP5, LGALS1, LILRB4, CCL15, ANXA5, PLD3, CD9, CD36, LPL, APOE, TREM2, FABP4, NPC1, NPC2, MSR1, PLIN2, APOC1, PPARG, MITF",,"P2RY12, TMEM119","GPNMB (S), CD9 (S), CD36 (S, scavenger), TREM2 (S), MSR1/CD204 (S); lipid droplets by BODIPY/PLIN2 (I)","Phagocytosis of myelin/lipid debris; expanded in aging, demyelination and AD; LDAM are a dysfunctional aging state","Marschallinger et al. (2020), Nat Neurosci; Hammond et al. (2019), Immunity; Martins-Ferreira et al. (2025), Nat Commun (HuMicA)",10.1038/s41593-019-0566-1; 10.1016/j.immuni.2018.11.004; 10.1038/s41467-025-56124-1,Merged with Marschallinger LDAM concept; added CD36/MSR1 scavenger-receptor surface markers and BODIPY/PLIN2 lipid-droplet detection; clarified aging/dysfunction context.
Disease-Associated (DAM / activation continuum),A continuum of activated/disease-associated states (DAM/MGnD/ARM and human/disease-specific variants). They share TREM2/APOE/ITGAX/GPNMB and differ by sub-state-specific markers. NOT discrete clusters — a trajectory.,Activated Response Microglia (ARM),ARM,updated,"HLA-DRB1, HLA-DRB5, CD74, DKK2, GPNMB, SPP1, APOE, TREM2, TYROBP, ITGAX, LGALS3, CST7, CTSS","HLA-DRB1, HLA-DRB5, CD74, DKK2, GPNMB, SPP1, APOE, TREM2, TYROBP, ITGAX, LGALS3, CST7, CTSS",,"P2RY12, TMEM119, CX3CR1","TREM2 (S), ITGAX/CD11c (S), GPNMB (S), CD9 (S), HLA-DR/CD74 (S/MHC-II)",Activated in early stages of neurodegeneration; associated with AD risk genes,"Sala Frigerio et al. (2019), Cell Reports; Sierksma et al. (2020), EMBO Mol Med",10.1016/j.celrep.2019.03.099; 10.15252/emmm.201910606,Refreshed to human symbols; added HLA-DR surface marker; clarified ARM overlaps DAM/MGnD in the unifying activation trajectory.
Disease-Associated (DAM / activation continuum),A continuum of activated/disease-associated states (DAM/MGnD/ARM and human/disease-specific variants). They share TREM2/APOE/ITGAX/GPNMB and differ by sub-state-specific markers. NOT discrete clusters — a trajectory.,Advanced DAM (S100+),Adv.DAM,updated,"HLA-DRB1, HLA-DRB5, CD74, S100A6, S100A8, S100A9, CCL15, LGALS3, CD63, ITGAX, CYBB, TREM2, APOE, TYROBP","HLA-DRB1, HLA-DRB5, CD74, S100A6, S100A8, S100A9, CCL15, LGALS3, CD63, ITGAX, CYBB, TREM2, APOE, TYROBP",,"P2RY12, TMEM119, CX3CR1, ISG15, IFI44L","TREM2 (S), ITGAX/CD11c (S), CD63 (S); S100A8/A9 alarmins (I/secreted), HLA-DR (S)","Advanced neurodegeneration; Late stage AD, chronic inflammation","Mathys et al. (2017), Cell Reports",10.1016/j.celrep.2017.09.039,Refreshed mouse H2-*/S100a* to human symbols; added HLA-DR and alarmin (S100A8/A9) detail.
Disease-Associated (DAM / activation continuum),A continuum of activated/disease-associated states (DAM/MGnD/ARM and human/disease-specific variants). They share TREM2/APOE/ITGAX/GPNMB and differ by sub-state-specific markers. NOT discrete clusters — a trajectory.,Human MG-AD / GPNMB+ DAM-like state,MG-AD / Mic.12-13,NEW,"GPNMB, APOC1, APOE, TREM2, CD9, ITGAX, SPP1, MYO1E, PPARG, NUPR1, CTSB, CTSD, GRN, ASAH1, LPL, CD63","GPNMB, APOC1, APOE, TREM2, CD9, ITGAX, SPP1, MYO1E, PPARG, NUPR1, CTSB, CTSD, GRN, ASAH1, LPL, CD63",,"P2RY12, CX3CR1, TMEM119","GPNMB (S), TREM2 (S), CD9 (S), ITGAX/CD11c (S), CD68 (I)",Human Alzheimer's disease cortex; lipid/cholesterol handling; defines the disease end of the human activation trajectory,"Sun et al. (2023), Cell; Prater et al. (2023), Nat Aging; Green et al. (2024), Nature; Martins-Ferreira et al. (2025), Nat Commun (HuMicA)",10.1016/j.cell.2023.08.037; 10.1038/s43587-023-00424-y; 10.1038/s41586-024-07871-6; 10.1038/s41467-025-56124-1,"NEW: human-specific DAM-equivalent state defined across Sun 2023, Prater 2023, Green 2024 and HuMicA — GPNMB-anchored; distinct from the originally mouse-derived 'Inflammatory DAM'."
Disease-Associated (DAM / activation continuum),A continuum of activated/disease-associated states (DAM/MGnD/ARM and human/disease-specific variants). They share TREM2/APOE/ITGAX/GPNMB and differ by sub-state-specific markers. NOT discrete clusters — a trajectory.,ALS/FTLD cortical disease-associated microglia,ALS-MG / DAM-ALS,NEW,"CD68, SPP1, APOC1, APOE, FTL, GPNMB, LPL, CD63, MS4A6A, MS4A7, CD83, HLA-DRA, ITGAX, TREM2","CD68, SPP1, APOC1, APOE, FTL, GPNMB, LPL, CD63, MS4A6A, MS4A7, CD83, HLA-DRA, ITGAX, TREM2",,"P2RY12, CX3CR1, TMEM119, SALL1","CD68 (I), HLA-DR (S), TREM2 (S), GPNMB (S), MS4A6A/MS4A7 (S)",ALS and FTLD motor & prefrontal cortex; reactive/phagocytic microglia expanded with TDP-43 pathology and C9orf72 status,"Pineda et al. (2024), Cell (ALS/FTLD cortex)",10.1016/j.cell.2024.02.031,NEW: ALS/FTLD-relevant cortical DAM-like state (Pineda 2024 human atlas) — directly relevant to the project's ALS datasets; MS4A6A/MS4A7 and HLA-DR feature prominently.
Disease-Associated (DAM / activation continuum),A continuum of activated/disease-associated states (DAM/MGnD/ARM and human/disease-specific variants). They share TREM2/APOE/ITGAX/GPNMB and differ by sub-state-specific markers. NOT discrete clusters — a trajectory.,Chronic-active MS rim microglia (MIMS-iron),MIMS / iron-rim MG,NEW,"FTL, FTH1, CD163, APOC1, APOE, GPNMB, MSR1, SPP1, CD68, ACSL1, NAMPT, SLC11A1","FTL, FTH1, CD163, APOC1, APOE, GPNMB, MSR1, SPP1, CD68, ACSL1, NAMPT, SLC11A1",,"P2RY12, TMEM119, CX3CR1","FTL/ferritin (I, by IHC), CD163 (S), MSR1/CD204 (S), CD68 (I); paramagnetic iron rim on 7T MRI",Rim of chronic-active (smoldering) MS lesions; iron accumulation; drives lesion expansion and disability,"Absinta et al. (2021), Nature",10.1038/s41586-021-03892-7,NEW: MS-specific iron-rim microglia (MIMS) state — links a transcriptomic signature to the clinically important paramagnetic-rim lesion.
